Penal Code,Crime,Weapon Used,Age,Gender,Cognizable,Time,Date,Location,FIR Launched by
326A,Voluntarily causing grievous hurt by use of acid,acid,47,Male,TRUE,23:16,26/12/2021,Swargate,Milind
337,Causing hurt by act endangering life or personal safety of other,knife,69,Male,TRUE,16:47,10/5/2020,Khau Gali,Soham
464,Making a false document,,70,Male,FALSE,10:30,28/3/2021,Shani Mandir,Riyan
300,Murder,knife,59,Male,TRUE,6:18,15/4/2020,Shani Mandir,Parag
464,Making a false document,,40,Male,FALSE,22:39,27/5/2022,Sukhsagar Nagar,Arijit
415,Cheating,,53,Male,FALSE,6:16,28/8/2021,Swargate,Vaibhav
390,Robbery,knife,35,Male,TRUE,19:59,31/1/2023,KK Market,Anand
464,Making a false document,,23,Male,FALSE,11:48,25/5/2021,Khau Gali,Arijit
354A,Sexual harassment,,46,Female,FALSE,6:07,18/12/2022,KK Market,Kiran
396,"Dacoity,Murder",ropes,19,Male,TRUE,12:04,25/3/2023,Katraj,Lakshay
425,Mischief,,53,Male,FALSE,19:08,12/12/2020,Katraj,Vaibhav
375,Rape,,55,Female,TRUE,3:07,8/6/2020,City Pride,Anita
354A,Sexual harassment,,72,Female,FALSE,17:43,5/6/2023,Mahesh Society,Anita
326A,Voluntarily causing grievous hurt by use of acid,acid,64,Male,FALSE,12:44,10/8/2021,Mahesh Society,Atharva
390,Robbery,ropes,22,Male,TRUE,16:20,23/12/2022,Bibwewadi Gavthan,Virat
375,Rape,,35,Female,TRUE,14:52,11/9/2022,KK Market,Sonia
359,Kidnapping,ropes,21,Male,TRUE,22:15,22/2/2021,Sukhsagar Nagar,Aslam
410,Stolen property,,38,Male,FALSE,7:12,30/4/2023,KK Market,Sameer
337,Causing hurt by act endangering life or personal safety of other,knife,37,Male,TRUE,17:40,20/12/2023,Swargate,Shantanu
510,Misconduct in public by a drunken person,,21,Male,FALSE,19:38,10/6/2023,Shani Mandir,Vineet
312,Causing Miscarriage,,26,Female,FALSE,19:50,16/3/2022,Sukhsagar Nagar,Aarti
304A,Causing of death by negligence,,32,Male,FALSE,6:39,7/9/2023,Katraj,Navjot
445,House-breaking,hockey stick,33,Male,TRUE,22:32,10/11/2021,Chintamani I,Milind
410,Stolen property,,24,Male,FALSE,10:21,9/9/2022,Bibwewadi Gavthan,Prasad
376B,Sexual intercourse by husband upon his wife during separation,,53,Male,FALSE,12:44,2/3/2023,Chintamani III,Mustufa
425,Mischief,,58,Male,FALSE,19:58,28/8/2020,City Pride,Lakshay
304A,Causing of death by negligence,,68,Male,FALSE,18:05,28/9/2020,Katraj,Atharva
300,Murder,ropes,32,Male,TRUE,0:17,26/3/2022,Chintamani I,Abhay
304B,Dowry death,,31,Female,TRUE,3:40,26/4/2023,Dolphin Chowk,Kavita
415,Cheating,,40,Male,FALSE,3:26,22/11/2021,Shani Mandir,Ajit
497,Adultery,,21,Male,FALSE,15:57,12/9/2021,Katraj,Anand
298,Uttering words with deliberate intent to wound religious feelings,,56,Male,FALSE,13:15,21/5/2021,Shani Mandir,Atif
415,Cheating,,40,Male,FALSE,11:57,25/2/2022,City Pride,Kailash
337,Causing hurt by act endangering life or personal safety of other,gun,43,Male,TRUE,23:29,20/7/2020,Bibwewadi Gavthan,Sujal
326A,Voluntarily causing grievous hurt by use of acid,acid,63,Male,TRUE,2:57,31/9/2023,Khau Gali,Sujoy
375,Rape,,68,Female,TRUE,2:14,16/1/2021,Chintamani II,Rashmi
510,Misconduct in public by a drunken person,,47,Male,FALSE,11:12,25/10/2020,KK Market,Prasad
378,Theft,,74,Male,TRUE,13:01,23/6/2020,Chintamani II,Sujal
298,Uttering words with deliberate intent to wound religious feelings,,22,Male,FALSE,19:42,19/9/2021,Chintamani III,Atharva
300,Murder,gun,18,Male,TRUE,13:39,25/6/2022,Khau Gali,
376B,Sexual intercourse by husband upon his wife during separation,,75,Male,FALSE,8:27,23/9/2020,City Pride,Navjot
354D,Stalking,,51,Female,FALSE,12:41,12/10/2021,KK Market,Priya
497,Adultery,,51,Male,FALSE,8:24,24/11/2022,Bibwewadi Gavthan,Abdul
510,Misconduct in public by a drunken person,,54,Male,FALSE,17:40,28/12/2020,Bibwewadi Gavthan,Navjot
337,Causing hurt by act endangering life or personal safety of other,knife,28,Male,TRUE,18:22,5/6/2020,Katraj,Om
298,Uttering words with deliberate intent to wound religious feelings,,37,Male,FALSE,5:38,1/8/2021,Sukhsagar Nagar,Mustufa
445,House-breaking,stones,37,Male,TRUE,9:14,9/3/2022,Chintamani III,Abdul
396,"Dacoity,Murder",knife,69,Male,TRUE,18:40,11/9/2023,Chintamani I,Abhay
359,Kidnapping,gun,70,Male,TRUE,20:15,1/3/2023,Shani Mandir,Prasad
337,Causing hurt by act endangering life or personal safety of other,knife,69,Male,TRUE,1:04,4/11/2021,Katraj,Vineet
390,Robbery,ropes,41,Male,TRUE,6:59,12/8/2023,Chintamani III,Vineet
310,Thug ,gun,17,Male,TRUE,2:27,21/5/2021,Shani Mandir,
359,Kidnapping,knife,29,Male,TRUE,23:09,6/5/2021,Swargate,Dheeraj
298,Uttering words with deliberate intent to wound religious feelings,,68,Male,FALSE,9:36,27/6/2021,City Pride,Sujal
464,Making a false document,,59,Male,FALSE,2:40,16/1/2022,Khau Gali,Atharva
463,Forgery,,62,Male,FALSE,22:04,5/11/2021,Dolphin Chowk,Lakshay
378,Theft,,31,Male,TRUE,16:41,7/8/2020,Katraj,Mahendra
390,Robbery,knife,41,Male,TRUE,5:55,22/4/2023,Shani Mandir,Amar
410,Stolen property,,41,Male,FALSE,19:36,18/5/2020,Dolphin Chowk,Amar
376B,Sexual intercourse by husband upon his wife during separation,,20,Male,FALSE,14:58,9/5/2020,Dolphin Chowk,Sujal
354A,Sexual harassment,,67,Female,FALSE,23:27,18/12/2022,Chintamani III,Suman
310,Thug ,knife,36,Male,TRUE,20:47,11/9/2022,Sukhsagar Nagar,Virat
445,House-breaking,rod,66,Male,TRUE,7:16,2/5/2023,Swargate,Sujoy
304B,Dowry death,,48,Female,TRUE,3:45,16/1/2023,Sukhsagar Nagar,Priya
337,Causing hurt by act endangering life or personal safety of other,gun,69,Male,TRUE,19:23,5/2/2020,KK Market,Aslam
298,Uttering words with deliberate intent to wound religious feelings,,47,Male,FALSE,0:41,10/6/2020,City Pride,Neeraj
415,Cheating,,62,Male,FALSE,18:46,23/12/2023,Chintamani II,Vaibhav
445,House-breaking,rod,75,Male,TRUE,3:12,14/11/2023,Dolphin Chowk,Anand
376B,Sexual intercourse by husband upon his wife during separation,,59,Male,FALSE,5:34,2/1/2023,Katraj,Sachin
326A,Voluntarily causing grievous hurt by use of acid,acid,53,Male,FALSE,19:43,10/10/2022,Chintamani III,Virat
326A,Voluntarily causing grievous hurt by use of acid,acid,61,Male,FALSE,16:20,21/4/2023,Bibwewadi Gavthan,Amar
510,Misconduct in public by a drunken person,,40,Male,FALSE,3:14,2/2/2021,Chintamani III,Shantanu
378,Theft,,41,Male,TRUE,1:49,12/3/2022,Chintamani I,Atharva
310,Thug ,gun,73,Male,TRUE,8:20,31/7/2020,City Pride,Sachin
415,Cheating,,53,Male,FALSE,22:46,13/12/2023,Mahesh Society,Amar
445,House-breaking,hammer,38,Male,TRUE,4:22,16/9/2023,City Pride,Mustufa
375,Rape,,29,Female,TRUE,20:28,17/4/2023,Shani Mandir,Anita
312,Causing Miscarriage,,71,Female,FALSE,16:40,27/8/2023,Chintamani I,Riya
497,Adultery,,32,Male,FALSE,8:41,1/11/2020,Chintamani I,Abdul
396,"Dacoity,Murder",knife,67,Male,TRUE,2:16,19/3/2020,Swargate,Amar
510,Misconduct in public by a drunken person,,33,Male,FALSE,0:37,25/3/2022,Katraj,Abhay
383,Extortion,knife,61,Male,TRUE,22:18,28/7/2023,Chintamani II,Mahendra
425,Mischief,,41,Male,FALSE,16:41,6/6/2020,City Pride,Ramesh
464,Making a false document,,46,Male,FALSE,23:08,13/9/2020,City Pride,Kailash
383,Extortion,ropes,17,Male,TRUE,12:51,9/4/2021,Bibwewadi Gavthan,
312,Causing Miscarriage,,55,Female,FALSE,12:22,12/11/2022,Chintamani I,Sapna
304B,Dowry death,,58,Female,TRUE,5:46,3/8/2023,KK Market,Riya
463,Forgery,,69,Male,FALSE,8:50,18/1/2020,Swargate,Atif
410,Stolen property,,18,Male,FALSE,9:51,5/7/2021,Shani Mandir,
354D,Stalking,,57,Female,FALSE,21:30,9/6/2023,Bibwewadi Gavthan,Rashmi
464,Making a false document,,32,Male,FALSE,17:57,12/7/2023,Bibwewadi Gavthan,Sameer
310,Thug ,gun,39,Male,TRUE,19:48,9/11/2021,Katraj,Milind
376B,Sexual intercourse by husband upon his wife during separation,,67,Male,FALSE,18:12,13/12/2021,Chintamani I,Riyan
383,Extortion,knife,36,Male,TRUE,21:16,17/4/2023,Swargate,Sujal
383,Extortion,knife,31,Male,TRUE,6:44,10/2/2021,KK Market,Milind
442,House-trespass,,31,Male,FALSE,10:32,24/10/2022,Mahesh Society,Suresh
337,Causing hurt by act endangering life or personal safety of other,knife,64,Male,TRUE,0:32,19/8/2020,Khau Gali,Mahendra
464,Making a false document,,54,Male,FALSE,1:26,19/1/2020,Shani Mandir,Arijit
375,Rape,,54,Female,TRUE,12:01,21/2/2021,Mahesh Society,Kiran
312,Causing Miscarriage,,34,Female,FALSE,7:37,3/4/2022,Khau Gali,Divya
304B,Dowry death,,32,Female,TRUE,19:34,31/8/2021,Chintamani III,Kiran
464,Making a false document,,64,Male,FALSE,15:51,19/11/2021,Khau Gali,Virat
300,Murder,gun,23,Male,TRUE,1:21,26/2/2020,Mahesh Society,Vaibhav
415,Cheating,,69,Male,FALSE,0:07,21/9/2022,Chintamani I,Parag
304B,Dowry death,,44,Female,TRUE,14:14,19/5/2020,Katraj,Kiran
376B,Sexual intercourse by husband upon his wife during separation,,35,Male,FALSE,6:35,7/4/2022,Chintamani I,Riyan
464,Making a false document,,50,Male,FALSE,9:48,31/8/2020,Katraj,Kailash
497,Adultery,,54,Male,FALSE,1:16,1/10/2020,KK Market,Arijit
383,Extortion,ropes,21,Male,TRUE,21:21,2/10/2021,Bibwewadi Gavthan,Mahendra
376B,Sexual intercourse by husband upon his wife during separation,,44,Male,FALSE,22:20,31/6/2023,Shani Mandir,Amar
375,Rape,,71,Female,TRUE,21:28,30/11/2022,Chintamani I,Sneha
510,Misconduct in public by a drunken person,,57,Male,FALSE,7:03,1/3/2023,Chintamani II,Anand
410,Stolen property,,43,Male,FALSE,23:21,7/6/2022,Khau Gali,Kailash
391,Dacoity,,39,Male,FALSE,17:56,30/10/2020,Sukhsagar Nagar,Aslam
442,House-trespass,,31,Male,FALSE,5:34,31/5/2022,Swargate,Prasad
354A,Sexual harassment,,23,Female,FALSE,11:47,6/8/2020,Sukhsagar Nagar,Sonia
312,Causing Miscarriage,,45,Female,FALSE,13:50,10/7/2022,Khau Gali,Kavita
510,Misconduct in public by a drunken person,,23,Male,FALSE,6:24,4/6/2021,KK Market,Riyan
396,"Dacoity,Murder",ropes,75,Male,TRUE,3:44,9/4/2021,Khau Gali,Sujoy
445,House-breaking,hockey stick,38,Male,TRUE,1:07,5/10/2023,Khau Gali,Suresh
378,Theft,,53,Male,TRUE,17:17,4/6/2021,City Pride,Ajit
310,Thug ,gun,17,Male,TRUE,12:44,27/9/2023,Swargate,
375,Rape,,58,Female,TRUE,8:22,12/6/2021,Khau Gali,Smita
390,Robbery,knife,54,Male,TRUE,1:36,12/3/2020,Khau Gali,Milind
359,Kidnapping,knife,49,Male,TRUE,3:55,21/1/2020,Swargate,Rohit
463,Forgery,,66,Male,FALSE,20:37,29/7/2022,Mahesh Society,Amar
375,Rape,,42,Female,TRUE,22:44,21/8/2020,Chintamani II,Anita
326A,Voluntarily causing grievous hurt by use of acid,acid,53,Male,TRUE,20:31,22/10/2023,Dolphin Chowk,Abdul
497,Adultery,,67,Male,FALSE,6:51,2/12/2023,Sukhsagar Nagar,Sameer
445,House-breaking,hammer,70,Male,TRUE,0:17,6/1/2023,Chintamani II,Prasad
391,Dacoity,,23,Male,FALSE,14:10,17/5/2022,Swargate,Parthiv
312,Causing Miscarriage,,38,Female,FALSE,0:35,17/2/2021,Bibwewadi Gavthan,Kajal
396,"Dacoity,Murder",knife,24,Male,TRUE,9:03,25/1/2022,Katraj,Om
298,Uttering words with deliberate intent to wound religious feelings,,46,Male,FALSE,0:33,10/3/2020,Chintamani II,Abhay
415,Cheating,,58,Male,FALSE,9:58,26/8/2023,Swargate,Arya
376B,Sexual intercourse by husband upon his wife during separation,,29,Male,FALSE,10:12,6/8/2021,Dolphin Chowk,Virat
359,Kidnapping,gun,42,Male,TRUE,8:54,4/2/2023,Mahesh Society,Aslam
415,Cheating,,42,Male,FALSE,15:20,27/5/2023,Khau Gali,Mustufa
415,Cheating,,43,Male,FALSE,22:52,6/9/2023,Mahesh Society,Parag
304A,Causing of death by negligence,,58,Male,FALSE,5:51,20/12/2023,Shani Mandir,Navjot
445,House-breaking,rod,51,Male,TRUE,6:10,23/5/2022,Khau Gali,Vineet
464,Making a false document,,50,Male,FALSE,4:51,11/12/2021,Dolphin Chowk,Milind
390,Robbery,gun,25,Male,TRUE,7:57,27/8/2020,Mahesh Society,Debashish
304B,Dowry death,,16,Male,TRUE,16:00,7/10/2022,City Pride,
359,Kidnapping,knife,21,Male,TRUE,5:07,20/7/2020,Dolphin Chowk,Lakshay
390,Robbery,ropes,69,Male,TRUE,14:09,13/5/2021,City Pride,Abdul
390,Robbery,knife,39,Male,TRUE,1:44,13/4/2023,Dolphin Chowk,Navjot
410,Stolen property,,75,Male,FALSE,6:37,25/7/2021,Swargate,Parthiv
359,Kidnapping,knife,32,Male,TRUE,16:15,29/6/2023,Khau Gali,Sameer
354D,Stalking,,32,Female,FALSE,15:45,26/11/2022,Shani Mandir,Aarti
312,Causing Miscarriage,,63,Female,FALSE,10:07,22/2/2022,City Pride,Rashmi
354D,Stalking,,22,Female,FALSE,4:26,1/12/2020,Chintamani I,Sonia
383,Extortion,gun,73,Male,TRUE,19:22,12/11/2020,Mahesh Society,Virat
463,Forgery,,25,Male,FALSE,11:32,19/8/2023,Bibwewadi Gavthan,Ramesh
464,Making a false document,,34,Male,FALSE,15:19,21/5/2022,City Pride,Vineet
359,Kidnapping,gun,61,Male,TRUE,19:17,17/8/2020,Shani Mandir,Ajay
425,Mischief,,54,Male,FALSE,20:05,24/8/2022,Katraj,Prasad
337,Causing hurt by act endangering life or personal safety of other,knife,50,Male,TRUE,9:04,14/12/2021,Chintamani II,Arijit
410,Stolen property,,30,Male,FALSE,18:30,19/4/2020,KK Market,Lakshay
354D,Stalking,,26,Female,FALSE,18:31,6/6/2021,Sukhsagar Nagar,Shweta
310,Thug ,knife,43,Male,TRUE,17:19,12/12/2022,Swargate,Riyan
396,"Dacoity,Murder",knife,62,Male,TRUE,23:56,28/6/2020,Chintamani III,Virat
497,Adultery,,27,Male,FALSE,22:27,3/8/2022,City Pride,Suresh
300,Murder,gun,48,Male,TRUE,0:33,2/8/2023,Swargate,Vineet
497,Adultery,,52,Male,FALSE,3:14,4/5/2022,Chintamani III,Ajay
415,Cheating,,54,Male,FALSE,5:24,6/8/2021,Sukhsagar Nagar,Anand
376B,Sexual intercourse by husband upon his wife during separation,,34,Male,FALSE,21:07,20/1/2020,Bibwewadi Gavthan,Ajit
410,Stolen property,,54,Male,FALSE,0:57,13/1/2022,Sukhsagar Nagar,Amar
304A,Causing of death by negligence,,59,Male,FALSE,12:32,3/8/2021,Mahesh Society,Arijit
304A,Causing of death by negligence,,23,Male,FALSE,4:16,28/5/2020,Chintamani I,Sujoy
415,Cheating,,42,Male,FALSE,8:31,25/3/2022,Chintamani III,Anand
378,Theft,,52,Male,TRUE,6:01,26/6/2023,Chintamani II,Lakshay
304B,Dowry death,,50,Female,TRUE,5:23,26/2/2022,Shani Mandir,Pooja
425,Mischief,,52,Male,FALSE,18:49,31/1/2020,Khau Gali,Sachin
396,"Dacoity,Murder",knife,39,Male,TRUE,22:34,18/5/2022,Chintamani I,Ramesh
390,Robbery,gun,40,Male,TRUE,19:19,14/12/2022,Mahesh Society,Atif
391,Dacoity,,31,Male,FALSE,14:22,10/6/2022,Chintamani I,Arijit
312,Causing Miscarriage,,39,Female,FALSE,0:50,28/5/2021,Sukhsagar Nagar,Sonia
390,Robbery,knife,69,Male,TRUE,8:09,1/2/2022,City Pride,Dheeraj
376B,Sexual intercourse by husband upon his wife during separation,,39,Male,FALSE,21:51,19/11/2022,Chintamani III,Navjot
354A,Sexual harassment,,57,Female,FALSE,20:07,17/2/2023,Khau Gali,Priya
396,"Dacoity,Murder",ropes,61,Male,TRUE,6:51,12/10/2020,Shani Mandir,Arijit
375,Rape,,27,Female,TRUE,21:57,27/12/2021,Sukhsagar Nagar,Neha
359,Kidnapping,knife,70,Male,TRUE,3:28,21/11/2020,Sukhsagar Nagar,Om
410,Stolen property,,45,Male,FALSE,9:41,7/5/2022,Dolphin Chowk,Kailash
354A,Sexual harassment,,48,Female,FALSE,0:15,2/2/2020,City Pride,Shweta
390,Robbery,gun,41,Male,TRUE,7:28,9/4/2021,Swargate,Vineet
312,Causing Miscarriage,,53,Female,FALSE,6:10,24/2/2022,Dolphin Chowk,Tina
354A,Sexual harassment,,57,Female,FALSE,21:58,3/9/2021,Bibwewadi Gavthan,Sonia
375,Rape,,37,Female,TRUE,23:11,28/1/2022,Swargate,Kiran
445,House-breaking,hammer,48,Male,TRUE,17:03,30/7/2021,Shani Mandir,Sameer
383,Extortion,ropes,62,Male,TRUE,4:15,22/11/2021,Chintamani I,Kailash
298,Uttering words with deliberate intent to wound religious feelings,,32,Male,FALSE,2:08,18/4/2022,Chintamani II,Parag
354A,Sexual harassment,,46,Female,FALSE,0:56,31/11/2022,Chintamani III,Sonia
391,Dacoity,,60,Male,FALSE,0:27,30/3/2020,City Pride,Ramesh
312,Causing Miscarriage,,36,Female,FALSE,21:28,22/6/2021,Katraj,Mona
375,Rape,,18,Female,TRUE,6:31,30/1/2021,Chintamani I,
425,Mischief,,27,Male,FALSE,3:19,12/5/2021,Chintamani III,Prasad
390,Robbery,ropes,44,Male,TRUE,18:11,21/11/2023,Dolphin Chowk,Navjot
442,House-trespass,,71,Male,FALSE,1:47,8/11/2023,Sukhsagar Nagar,Atif
326A,Voluntarily causing grievous hurt by use of acid,acid,53,Male,FALSE,22:45,22/8/2023,KK Market,Dheeraj
304A,Causing of death by negligence,,67,Male,FALSE,21:38,30/4/2021,Mahesh Society,Prasad
310,Thug ,ropes,67,Male,TRUE,15:19,15/9/2022,Dolphin Chowk,Suresh
464,Making a false document,,63,Male,FALSE,5:03,28/7/2022,Sukhsagar Nagar,Sujoy
464,Making a false document,,58,Male,FALSE,21:20,15/8/2020,Mahesh Society,Atif
326A,Voluntarily causing grievous hurt by use of acid,acid,60,Male,FALSE,9:10,9/9/2022,Dolphin Chowk,Soham
463,Forgery,,39,Male,FALSE,20:59,19/9/2022,Bibwewadi Gavthan,Sujal
326A,Voluntarily causing grievous hurt by use of acid,acid,46,Male,FALSE,21:53,31/7/2020,Mahesh Society,Om
304A,Causing of death by negligence,,52,Male,FALSE,11:19,25/10/2023,Chintamani III,Mahendra
463,Forgery,,26,Male,FALSE,6:50,22/5/2022,Mahesh Society,Parag
463,Forgery,,25,Male,FALSE,8:52,24/6/2021,Mahesh Society,Dheeraj
464,Making a false document,,31,Male,FALSE,16:53,1/12/2023,City Pride,Atharva
410,Stolen property,,28,Male,FALSE,23:11,1/5/2021,Khau Gali,Atharva
298,Uttering words with deliberate intent to wound religious feelings,,39,Male,FALSE,2:18,4/7/2023,Chintamani II,Ajit
463,Forgery,,34,Male,FALSE,7:30,27/12/2022,Dolphin Chowk,Riyan
310,Thug ,knife,75,Male,TRUE,21:07,8/6/2021,City Pride,Sujoy
376B,Sexual intercourse by husband upon his wife during separation,,30,Male,FALSE,20:13,7/11/2022,City Pride,Suresh
378,Theft,,51,Male,TRUE,20:27,17/8/2021,KK Market,Om
354A,Sexual harassment,,52,Female,FALSE,8:49,25/12/2021,Katraj,Anita
464,Making a false document,,70,Male,FALSE,22:48,4/1/2020,Sukhsagar Nagar,Aslam
